geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	end	family	superfamily
AT3TE53970	4.77101146474686	-0.956995837326052	0.186665991431763	-5.12678195950807	2.94736520911279e-07	9.16139352499225e-06	Chr3	13186250	13194551	ATHILA	LTR_Gypsy
AT3TE56700	3.69200723779924	-0.930996209770676	0.202589232464347	-4.59548712656542	4.31739449424024e-06	9.47287144912711e-05	Chr3	13816427	13821632	ATHILA	LTR_Gypsy
AT3TE57050	2.10612928853887	-0.963002410111195	0.251958082680155	-3.82207389367091	0.000132334019294516	0.00214611257377628	Chr3	13870712	13877563	ATHILA	LTR_Gypsy
AT3TE60875	10.7224679294015	-2.31977424187903	0.685406693914805	-3.38452230256067	0.000713022261134468	0.00917094149666057	Chr3	14918973	14927509	VANDAL12	DNA_MuDR
AT3TE61645	2.336366066084	-1.04828789552481	0.243223886217531	-4.30997099761516	1.63275957799819e-05	0.000304509661296662	Chr3	15154027	15161356	ATHILA	LTR_Gypsy
AT4TE18075	1.39055203842992	-1.31191366028561	0.330206609301472	-3.97300848417562	7.09705202757522e-05	0.00120327291194798	Chr4	4187541	4191690	ATHILA	LTR_Gypsy
AT4TE18245	5.24962913158977	-0.998310908621333	0.176258897464849	-5.6638894432006	1.4797976978873e-08	7.88520773302802e-07	Chr4	4239123	4249806	ATHILA	LTR_Gypsy
AT4TE18435	3.76072379797743	-0.869921608028895	0.212997759166139	-4.08418197184109	4.4232359136846e-05	0.000785650950383026	Chr4	4320822	4333493	ATENSPM6	DNA_En-Spm
AT4TE44080	6.47020558922317	-0.561574417170591	0.171224369364208	-3.27975754418507	0.00103896332584546	0.0125010748561405	Chr4	9732598	9737733	ATCOPIA1	LTR_Copia
AT4TE53965	1.51526445229472	3.6227742128278	0.452864178069694	7.99969259717041	1.24730210216751e-15	8.64615638972005e-14	Chr4	11676468	11681340	ATCOPIA22	LTR_Copia
AT5TE20395	1.88349482150893	2.49505745014756	0.309349315047373	8.06550177673895	7.29356755790888e-16	8.64615638972005e-14	Chr5	5629978	5635310	ATCOPIA93	LTR_Copia
AT5TE31200	1.49228313002534	3.59858699799181	0.450162811683529	7.99396774809926	1.30663956063107e-15	8.64615638972005e-14	Chr5	8624511	8629386	ATCOPIA22	LTR_Copia
AT5TE33315	0.81571693435483	2.452219182951	0.440666036348341	5.5648018696239	2.62450432752825e-08	1.22367514271005e-06	Chr5	9211109	9218667	ATHILA7A	LTR_Gypsy
AT5TE36920	7.46691711387954	1.71150634838526	0.491852599189601	3.47971394520476	0.000501949413337397	0.00668668325624461	Chr5	10128750	10133862	ATCOPIA12	LTR_Copia
AT5TE42265	4.66140270565498	-1.04270746392407	0.193612288333184	-5.38554382524366	7.22259331315936e-08	2.44911573255313e-06	Chr5	11742799	11753141	ATHILA	LTR_Gypsy
AT5TE43315	3.69613698500933	-0.74999574576714	0.197502292248415	-3.79740274013533	0.000146220118613289	0.00227250434344819	Chr5	12165095	12170358	ATHILA	LTR_Gypsy
AT5TE46860	2.64156083652218	2.10494901673038	0.669708872695171	3.14308067662183	0.00167179755513526	0.0188963784262258	Chr5	13170367	13180947	ATGP10	LTR_Gypsy
AT5TE49725	31.3214076603146	0.586305393753182	0.191283743386204	3.06510832219246	0.00217591173692753	0.0238710317021756	Chr5	13948931	13953996	ATCOPIA12	LTR_Copia
AT5TE55555	2.2231999414341	0.642341792055861	0.212894609989793	3.0171820323993	0.00255136550559867	0.0271902666739515	Chr5	15350991	15362721	ATHILA7	LTR_Gypsy
AT5TE66565	0.448953175237561	1.32295933204846	0.461981796102754	2.86366117281861	0.0041877570391608	0.0411061414633415	Chr5	18490606	18495234	ATCOPIA31	LTR_Copia
AT5TE79225	1.48506491122221	3.59028073478681	0.449556512370153	7.98627232838452	1.39080263641609e-15	8.64615638972005e-14	Chr5	22002017	22006884	ATCOPIA22	LTR_Copia
