chrom	start	end	name	score
Chr1	572400	572800	DMR62	-28.4342165031486
Chr1	578600	579000	DMR63	-29.0328144810559
Chr1	645800	646200	DMR64	-31.7866895223177
Chr1	646500	647100	DMR65	-30.4709730997206
Chr1	648900	649300	DMR66	-26.3904028975278
Chr1	656000	656600	DMR67	-42.0539338040216
Chr1	657200	657500	DMR68	-26.5366609270516
Chr1	682200	682500	DMR69	-30.0850025870353
Chr1	688400	689000	DMR70	-34.2663273898394
Chr1	689700	690000	DMR71	-25.9267464185497
Chr1	690300	690600	DMR72	-26.2262040856901
Chr1	713000	714000	DMR73	-32.5272812467188
Chr1	717900	718300	DMR74	-33.4635029881619
Chr1	718400	718900	DMR75	-37.6301381357549
Chr1	719000	719700	DMR76	-29.8302764230226
Chr1	720300	720700	DMR77	-28.2548993474493
Chr1	721500	722000	DMR78	-35.3049426966368
Chr1	722300	722900	DMR79	-31.6834664596655
Chr1	723600	724000	DMR80	-27.1762406821853
Chr1	743100	743400	DMR81	-25.5458495815104
Chr1	744500	744800	DMR82	-25.6165530438943
Chr1	745300	745900	DMR83	-31.6960681528197
Chr1	774500	774800	DMR84	-27.9977171692899
Chr1	778900	779400	DMR85	-32.577174594604
Chr1	789300	789900	DMR86	0.226045883940602
Chr1	804500	804800	DMR87	-34.3152782177172
Chr1	811200	811600	DMR88	-27.1432466841914
Chr1	815900	816400	DMR89	-26.8341787594462
Chr1	825700	826200	DMR90	-30.1206827747737
Chr1	827800	828300	DMR91	-32.1505796181387
Chr1	829300	829600	DMR92	-34.0049505807412
Chr1	829800	830100	DMR93	-26.2045352492142
Chr1	832000	832300	DMR94	-28.4739008483079
Chr1	833700	834000	DMR95	-25.3492796955694
Chr1	837300	837600	DMR96	-26.9726921593283
Chr1	837700	838000	DMR97	-31.5578069787986
Chr1	876500	877000	DMR98	-27.8154234919521
Chr1	878800	879200	DMR99	-26.3063677217803
Chr1	881200	881500	DMR100	-25.0076660706788
Chr1	890500	891200	DMR101	-30.8972599770387
Chr1	934300	935100	DMR102	-34.3318927568299
Chr1	935200	935700	DMR103	-31.5600477026105
Chr1	938700	939200	DMR104	-35.464067910362
Chr1	939500	939800	DMR105	-34.1666666666667
Chr1	963200	963700	DMR106	-28.0638938248177
Chr1	964400	964700	DMR107	-27.499032248459
Chr1	965000	965300	DMR108	-26.9720373117388
Chr1	965600	966100	DMR109	-31.0911064410988
Chr1	997700	998000	DMR110	-26.6807920933258
Chr1	1007500	1008000	DMR111	-27.413277253401
Chr1	1015700	1016200	DMR112	-41.1640614429983
Chr1	1033900	1034200	DMR113	-31.3432203389831
Chr1	1034600	1035000	DMR114	-31.2273372623924
Chr1	1041600	1042000	DMR115	-29.9104068974791
Chr1	1046900	1047400	DMR116	-29.5902906286912
Chr1	1052000	1052600	DMR117	-33.2621083885955
Chr1	1052700	1053000	DMR118	-34.4743062981933
Chr1	1053800	1054600	DMR119	-36.3844424711206
Chr1	1054800	1055300	DMR120	-30.1133873591316
Chr1	1055900	1056200	DMR121	-26.7484634410885
Chr1	1065900	1066200	DMR122	-26.8086605218041
Chr1	1078000	1078700	DMR123	-31.1145987933625
Chr1	1087400	1088000	DMR124	-31.83063699874
Chr1	1089600	1090000	DMR125	-29.1613566834944
Chr1	1090400	1090900	DMR126	-32.4361546958268
Chr1	1093900	1094200	DMR127	-45.9814750222842
Chr1	1097800	1098400	DMR128	-35.5308882529295
Chr1	1098500	1098800	DMR129	-26.0889230244069
Chr1	1106400	1106900	DMR130	-40.5601832536985
Chr1	1110800	1111500	DMR131	-33.920042303988
Chr1	1111600	1111900	DMR132	30.8821146992116
Chr1	1116000	1116700	DMR133	-29.0424433210095
Chr1	1117700	1118000	DMR134	-30.6674401563263
Chr1	1150800	1151100	DMR135	-26.1278291090955
Chr1	1151300	1151600	DMR136	-28.3444486365197
Chr1	1152300	1152800	DMR137	-35.3660911609231
Chr1	1153200	1153500	DMR138	-27.78082106021
Chr1	1179500	1180000	DMR139	-44.3616259290106
Chr1	1180300	1180600	DMR140	-26.5289574228306
Chr1	1181600	1182100	DMR141	-36.1929887903808
Chr1	1182200	1182600	DMR142	-27.2928766296813
Chr1	1185900	1186400	DMR143	-28.7253362720536
Chr1	1186900	1187600	DMR144	-30.6384663966386
Chr1	1192800	1193200	DMR145	-29.3760721011784
Chr1	1199600	1200200	DMR146	-31.5650073556412
Chr1	1204600	1205200	DMR147	-28.6381055997796
Chr1	1229300	1229800	DMR148	-31.1085131986751
Chr1	1255600	1255900	DMR149	-25.9784315760492
Chr1	1263400	1263700	DMR150	-27.0114219727199
Chr1	1266700	1267000	DMR151	-26.1502030939417
Chr1	1284200	1285100	DMR152	-28.8693353586983
Chr1	1297700	1298100	DMR153	30.0775225261791
Chr1	1317400	1317800	DMR154	-30.4922294459084
Chr1	1326300	1326600	DMR155	-41.1333211076472
Chr1	1341700	1342100	DMR156	-29.1707842799783
Chr1	1351300	1351700	DMR157	-28.4541395036808
Chr1	1353700	1354100	DMR158	-25.446155495779
Chr1	1354200	1354700	DMR159	-26.4392831769538
Chr1	1359200	1359600	DMR160	-34.5340202909309
Chr1	1360600	1361000	DMR161	-28.2180780319997
Chr1	1366400	1366700	DMR162	-27.1014342132613
Chr1	1367200	1367600	DMR163	-30.6033610814783
Chr1	1370700	1371200	DMR164	-36.8398171443718
Chr1	1386900	1387400	DMR165	-32.6760674552243
Chr1	1388300	1388600	DMR166	-29.6781003330449
Chr1	1390100	1390400	DMR167	-27.8070687892508
Chr1	1397300	1397700	DMR168	-26.3286217202225
Chr1	1402000	1402300	DMR169	-25.2157381850955
Chr1	1405200	1405600	DMR170	-37.4516859922698
Chr1	1409700	1410000	DMR171	38.3721798894367
Chr1	1416700	1417100	DMR172	-28.1067113659519
Chr1	1439000	1439500	DMR173	-54.4500822085049
Chr1	1449600	1449900	DMR174	-31.9704098056209
Chr1	1475000	1475300	DMR175	-25.1651951801877
Chr1	1484600	1485600	DMR176	-35.2820111624086
Chr1	1498900	1499300	DMR177	-31.7798310467257
Chr1	1500300	1500700	DMR178	-33.1350103376433
Chr1	1507900	1508400	DMR179	-29.3978024420101
Chr1	1561600	1562100	DMR180	-31.5281607387496
Chr1	1565600	1566400	DMR181	-30.6933460222564
Chr1	1579400	1579700	DMR182	-33.295480546775
Chr1	1580200	1580600	DMR183	-40.5630470199895
Chr1	1633200	1633500	DMR184	-26.350114416476
Chr1	1633700	1634000	DMR185	-27.09738773812
Chr1	1648900	1649400	DMR186	-26.874509232549
Chr1	1650600	1651000	DMR187	-26.7938926709814
Chr1	1654300	1654600	DMR188	-27.5693829321035
Chr1	1672700	1673200	DMR189	-31.0697682152529
Chr1	1687500	1687900	DMR190	-28.2798248577127
Chr1	1723100	1723600	DMR191	-32.0055042266671
Chr1	1734600	1734900	DMR192	-34.2081279257633
Chr1	1736300	1736800	DMR193	-31.1866408345081
Chr1	1756900	1757400	DMR194	-45.2940438853295
Chr1	1757600	1758100	DMR195	-36.0138490788217
Chr1	1759000	1759400	DMR196	-28.7283532552605
Chr1	1780000	1780400	DMR197	-28.1287241316672
Chr1	1781600	1782600	DMR198	-32.154247505167
Chr1	1784800	1785100	DMR199	-26.0532131999898
Chr1	1790700	1791200	DMR200	-30.6728369027194
Chr1	1792600	1793000	DMR201	-28.9040424369346
Chr1	1793700	1794000	DMR202	27.7597402597403
Chr1	1795100	1795400	DMR203	-27.1330524278262
Chr1	1809100	1809400	DMR204	-31.7286479672234
Chr1	1809800	1810100	DMR205	-33.6009945882697
Chr1	1810200	1810500	DMR206	-28.479132266533
Chr1	1810700	1811000	DMR207	-29.6019942538449
Chr1	1811900	1812200	DMR208	-28.8934086862916
Chr1	1853600	1854000	DMR209	-30.0993330161275
Chr1	1858000	1858300	DMR210	-30.4138086600663
Chr1	1858800	1859400	DMR211	-27.1298670647071
Chr1	1870600	1870900	DMR212	-30.5339607201309
Chr1	1951200	1951700	DMR213	-30.9580937636279
Chr1	1955800	1956600	DMR214	-27.9753397537092
Chr1	1956900	1957300	DMR215	-32.8794271237994
Chr1	1960500	1960800	DMR216	-27.960558984181
Chr1	1970600	1970900	DMR217	-25.7641347361168
Chr1	1981800	1982400	DMR218	-31.2384207386179
Chr1	1988600	1988900	DMR219	-29.3503656260909
Chr1	1990000	1990500	DMR220	-32.3755287821914
Chr1	2011100	2011500	DMR221	-30.9693966564853
Chr1	2017200	2017700	DMR222	-37.660876453008
Chr1	2018900	2019200	DMR223	-26.0881335539179
Chr1	2019500	2019800	DMR224	-26.5066029906379
Chr1	2020700	2021700	DMR225	-31.610412501898
Chr1	2021800	2022500	DMR226	-11.3904484861039
Chr1	2038500	2038800	DMR227	-46.1464585834334
Chr1	2042800	2043100	DMR228	-30.0599123071259
Chr1	2043200	2043500	DMR229	-25.1441324158453
Chr1	2044700	2045500	DMR230	-27.3220466523414
Chr1	2063000	2063800	DMR231	-33.8821567220673
Chr1	2065700	2066000	DMR232	-25.4465781560728
Chr1	2069700	2070000	DMR233	-25.5758012921031
Chr1	2071900	2073200	DMR234	-29.2500425119678
Chr1	2079900	2080400	DMR235	-37.8589686972601
Chr1	2085700	2086200	DMR236	-39.2203226902447
Chr1	2088400	2088800	DMR237	-26.585819130132
Chr1	2101500	2101900	DMR238	-28.5332242440588
Chr1	2111900	2112300	DMR239	-27.2664417609403
Chr1	2116400	2116800	DMR240	-28.0979460193516
Chr1	2116900	2117500	DMR241	-38.4931217354088
Chr1	2122700	2123100	DMR242	-29.104448136726
Chr1	2131800	2132300	DMR243	-27.5327891092829
Chr1	2134100	2134500	DMR244	-29.1928951159939
Chr1	2179100	2179600	DMR245	-28.2003246115845
Chr1	2217800	2218100	DMR246	-32.7332939864909
Chr1	2261000	2261500	DMR247	-28.8788867559453
Chr1	2265300	2265800	DMR248	-35.6334985913164
Chr1	2266800	2267500	DMR249	-31.1739539127374
Chr1	2270900	2271300	DMR250	-31.9083614023467
Chr1	2272100	2272400	DMR251	-27.9386218876665
Chr1	2273400	2273800	DMR252	-26.4014249735637
Chr1	2273900	2274300	DMR253	-31.174724466988
Chr1	2292300	2292600	DMR254	-27.3862052280504
Chr1	2292800	2293300	DMR255	-34.3742440930152
Chr1	2298300	2298600	DMR256	-76.3157894736842
Chr1	2308700	2309300	DMR257	-33.0459237606341
Chr1	2314000	2315000	DMR258	-31.7153097587584
Chr1	2331400	2331900	DMR259	-37.5772608297413
Chr1	2342500	2343100	DMR260	-37.6004068979198
Chr1	2360600	2361100	DMR261	-32.0410821867151
Chr1	2370400	2370700	DMR262	-25.2008893327017
Chr1	2372500	2373500	DMR263	-30.7209900739105
Chr1	2382900	2383300	DMR264	-32.0353740674845
Chr1	2383700	2384000	DMR265	-28.5215543412265
Chr1	2384100	2385000	DMR266	-35.8873375045121
Chr1	2385300	2385600	DMR267	-27.987012987013
Chr1	2387000	2387700	DMR268	-29.072842802389
Chr1	2397900	2398400	DMR269	-26.7145561602308
Chr1	2417400	2417700	DMR270	-48.851238608651
Chr1	2419300	2419600	DMR271	-27.9573062861186
Chr1	2419900	2420400	DMR272	-30.8656070199968
Chr1	2425300	2425800	DMR273	-35.2169557554044
Chr1	2452500	2453400	DMR274	-32.3535464743032
Chr1	2459200	2459700	DMR275	-39.5259759084532
Chr1	2469700	2470000	DMR276	-26.4942128897603
Chr1	2470400	2470700	DMR277	-34.6504559270517
Chr1	2483400	2483700	DMR278	-26.9897027664296
Chr1	2486200	2486700	DMR279	-35.4513997156748
Chr1	2505100	2505400	DMR280	-29.0333117981402
Chr1	2506700	2507400	DMR281	-34.3492948164377
Chr1	2508500	2509000	DMR282	-32.8194692596567
Chr1	2509800	2510100	DMR283	-26.7324639141278
Chr1	2544900	2545400	DMR284	-26.5071114005884
Chr1	2546600	2547000	DMR285	-32.1546844607852
Chr1	2569200	2570000	DMR286	-30.617810166107
Chr1	2570600	2570900	DMR287	-27.2233201581028
Chr1	2571300	2571900	DMR288	-36.4061781171861
Chr1	2593700	2594100	DMR289	-29.0434053682565
Chr1	2595200	2596100	DMR290	-36.6675172227153
Chr1	2600000	2600700	DMR291	-25.9022548722412
Chr1	2604800	2605100	DMR292	-33.1565289520345
Chr1	2615900	2616700	DMR293	-29.8322622608246
Chr1	2617100	2617600	DMR294	-42.0227564262748
Chr1	2633500	2633800	DMR295	-25.472975462383
Chr1	2639300	2639600	DMR296	-27.000460486699
Chr1	2639900	2640200	DMR297	-33.5375293615204
Chr1	2644600	2645100	DMR298	-33.6431802309696
Chr1	2652600	2653000	DMR299	-27.7273169546979
Chr1	2653400	2654200	DMR300	-35.9876589736339
Chr1	2654300	2654900	DMR301	-31.0023807391101
Chr1	2656200	2656600	DMR302	-31.6303801187268
Chr1	2686700	2687100	DMR303	-31.8115884351181
Chr1	2698900	2699300	DMR304	-31.7639468773676
Chr1	2699400	2699700	DMR305	-44.5804195804196
Chr1	2704500	2705000	DMR306	-28.7922909315782
Chr1	2705300	2705900	DMR307	-27.6968495395539
Chr1	2708300	2708900	DMR308	-29.2543420916046
Chr1	2727200	2727600	DMR309	-32.0830706599413
Chr1	2729000	2729300	DMR310	-26.4095528019552
Chr1	2730300	2730600	DMR311	-30.0042231241097
Chr1	2730700	2731100	DMR312	-32.8255194417039
Chr1	2738000	2738300	DMR313	-28.9015625750695
Chr1	2738900	2739200	DMR314	-29.3693181818182
Chr1	2749600	2750300	DMR315	-34.8657222386056
Chr1	2764000	2764400	DMR316	-28.0993019875467
Chr1	2776500	2776800	DMR317	-30.4357439131165
Chr1	2777400	2777700	DMR318	-25.3261766424863
Chr1	2802500	2802800	DMR319	-25.648590021692
Chr1	2815800	2816300	DMR320	-31.0171656256916
Chr1	2823300	2823800	DMR321	-34.0582252265145
Chr1	2828600	2829000	DMR322	-25.5978425818131
Chr1	2835600	2836700	DMR323	-39.9594796024733
Chr1	2836800	2837100	DMR324	-25.0495278892845
Chr1	2858600	2859000	DMR325	27.3189363689864
Chr1	2860000	2860500	DMR326	-27.6010104826327
Chr1	2883200	2883900	DMR327	-31.859015127526
Chr1	2895800	2896500	DMR328	-28.7500473547988
Chr1	2896600	2896900	DMR329	-27.0180912143863
Chr1	2897300	2897700	DMR330	-26.2174249489801
Chr1	2900200	2900700	DMR331	-37.1984840061953
Chr1	2901500	2902000	DMR332	-27.6160041501363
Chr1	2902900	2903600	DMR333	-28.4873539941709
Chr1	2907300	2907600	DMR334	-35.9393863702594
Chr1	2912600	2913500	DMR335	-31.9985018998917
Chr1	2918900	2919400	DMR336	-29.6475044024663
Chr1	2920000	2920400	DMR337	-26.1743168962745
Chr1	2922900	2923200	DMR338	-29.5684025092378
Chr1	2924900	2925300	DMR339	-25.7362892493076
Chr1	2936000	2936400	DMR340	-27.0806344473723
Chr1	2936600	2937600	DMR341	-30.0146768280857
Chr1	2937900	2938300	DMR342	-25.3374578177728
Chr1	2940600	2941200	DMR343	-32.9408433363718
Chr1	2944200	2944600	DMR344	-28.2510852699307
Chr1	2944900	2945400	DMR345	-29.0585672580035
Chr1	2947600	2947900	DMR346	-32.8444074000254
Chr1	2969200	2969700	DMR347	-30.6974202523941
Chr1	2995400	2996500	DMR348	-30.9321795003784
Chr1	2998900	2999200	DMR349	-43.6573234788268
Chr1	3001900	3002300	DMR350	-26.4855186915099
Chr1	3004500	3005000	DMR351	-30.8449059467977
Chr1	3005900	3006300	DMR352	-44.9809666949104
Chr1	3016900	3017400	DMR353	-27.189429827942
Chr1	3042800	3043900	DMR354	-35.6805018128048
Chr1	3045300	3045700	DMR355	-28.1452737770858
Chr1	3050100	3050700	DMR356	-40.0664776659497
Chr1	3096100	3096800	DMR357	-34.7263291134239
Chr1	3097400	3098700	DMR358	-43.8593700553239
Chr1	3098800	3099300	DMR359	-27.7729317478955
Chr1	3105700	3106100	DMR360	-28.5380480449371
Chr1	3109800	3110100	DMR361	-26.2388171043329
Chr1	3113200	3113500	DMR362	-25.6171462718726
Chr1	3128900	3129300	DMR363	-28.9829906332323
Chr1	3141900	3142300	DMR364	-30.5856513434055
Chr1	3143400	3144100	DMR365	-29.2174495233966
Chr1	3149100	3149600	DMR366	-38.688664014211
Chr1	3149900	3150300	DMR367	-25.482296083168
Chr1	3150600	3151100	DMR368	-39.4276240193716
Chr1	3152300	3152600	DMR369	-29.1674311926605
Chr1	3153200	3153500	DMR370	-25.5539597180935
Chr1	3159700	3160200	DMR371	-28.4531619292356
Chr1	3160500	3160900	DMR372	-36.0471677546527
Chr1	3162400	3162900	DMR373	-35.1909349711884
Chr1	3163000	3163600	DMR374	-34.7452073559443
Chr1	3163800	3164500	DMR375	-45.323737029427
Chr1	3175700	3176000	DMR376	-33.0966145054653
Chr1	3177400	3177700	DMR377	-26.0847832356051
Chr1	3178600	3178900	DMR378	-25.5774050236373
Chr1	3181400	3181800	DMR379	-30.1107640340763
Chr1	3193200	3193900	DMR380	-31.8593370934646
Chr1	3198300	3198700	DMR381	-35.799035965888
Chr1	3206400	3206700	DMR382	-27.7062847279792
Chr1	3220700	3221300	DMR383	-34.5002128740893
Chr1	3221800	3222100	DMR384	-28.1356352621412
Chr1	3222400	3222700	DMR385	-33.0593462392891
Chr1	3225900	3226300	DMR386	-32.5449153886222
Chr1	3238000	3238400	DMR387	-27.2290597646523
Chr1	3257100	3257400	DMR388	-33.8957615718962
Chr1	3258600	3258900	DMR389	-34.7423268189161
Chr1	3280300	3281100	DMR390	-27.7893934790954
Chr1	3282400	3283100	DMR391	-32.516823193523
Chr1	3293100	3293600	DMR392	-42.339180655751
Chr1	3294400	3295200	DMR393	-30.5797483262185
Chr1	3298800	3299100	DMR394	-25.9718969555035
Chr1	3312800	3313200	DMR395	-33.107927661549
Chr1	3313900	3314600	DMR396	-33.7663735563487
Chr1	3316100	3316400	DMR397	-32.6431269979657
Chr1	3317000	3317400	DMR398	-28.285842914824
Chr1	3317600	3317900	DMR399	-34.9348721229719
Chr1	3318300	3318600	DMR400	-25.2842993396919
Chr1	3320700	3321000	DMR401	-27.7548209366391
Chr1	3335100	3335400	DMR402	-26.1551923674034
Chr1	3335500	3336000	DMR403	-30.7119004428669
Chr1	3336300	3336600	DMR404	-26.2089938502047
Chr1	3336700	3337200	DMR405	-31.3127473288175
Chr1	3338900	3339300	DMR406	-29.7618322906856
Chr1	3340500	3340800	DMR407	-28.6936929409733
Chr1	3350000	3350500	DMR408	-36.4481380071981
Chr1	3362100	3362800	DMR409	-35.3057234338139
Chr1	3365400	3365900	DMR410	-32.2451662191928
Chr1	3372000	3372600	DMR411	-34.7454531182635
Chr1	3372800	3373300	DMR412	-31.121564749502
Chr1	3375800	3376100	DMR413	-30.4356782366876
Chr1	3376500	3377300	DMR414	-37.482749312922
Chr1	3380800	3381100	DMR415	-31.8534178999295
Chr1	3382400	3382900	DMR416	-36.3497087794872
Chr1	3386800	3387600	DMR417	-34.193508691995
Chr1	3408100	3409400	DMR418	-31.2974625151693
Chr1	3409500	3410100	DMR419	-29.4994198694709
Chr1	3410200	3411900	DMR420	-31.7328086620506
Chr1	3417900	3418300	DMR421	-25.0058184979932
Chr1	3427800	3428400	DMR422	-31.4290608527578
Chr1	3435100	3435800	DMR423	-28.8663917993716
Chr1	3437000	3437500	DMR424	-29.7222750693785
Chr1	3458300	3458600	DMR425	-26.8324071365897
Chr1	3459200	3459600	DMR426	-31.5144880223632
Chr1	3463100	3463400	DMR427	-40.4748897537129
Chr1	3467500	3468000	DMR428	-30.3627622794574
Chr1	3498500	3498800	DMR429	-27.0491999616748
Chr1	3533600	3533900	DMR430	-30.9768483916598
Chr1	3555600	3556000	DMR431	-27.2892493963663
Chr1	3563900	3564200	DMR432	-27.0611000136113
Chr1	3567100	3567500	DMR433	-35.289493058208
Chr1	3568400	3569400	DMR434	-33.2636241272432
Chr1	3581800	3582300	DMR435	-34.1470218903249
Chr1	3584700	3585000	DMR436	-25.9150890950054
Chr1	3587200	3587700	DMR437	-28.8280283698513
Chr1	3588000	3588500	DMR438	-33.9621700613895
Chr1	3593700	3594300	DMR439	-33.2250420574663
Chr1	3600400	3600900	DMR440	-45.6343326778884
Chr1	3601000	3602000	DMR441	-31.1917107324608
Chr1	3603000	3603300	DMR442	-36.7432561983818
Chr1	3608200	3608900	DMR443	-38.7750471360341
Chr1	3619900	3620400	DMR444	-37.2689411641857
Chr1	3620600	3620900	DMR445	46.7208166401405
Chr1	3621000	3621400	DMR446	-33.1153543264025
Chr1	3628600	3629100	DMR447	-28.3158017483973
Chr1	3629700	3630100	DMR448	-27.9139096865534
Chr1	3641100	3641600	DMR449	-28.6227965949728
Chr1	3642200	3642800	DMR450	-34.814093743671
Chr1	3651200	3651500	DMR451	-26.5645701815915
Chr1	3652200	3652500	DMR452	-25.2288774027904
Chr1	3652700	3653000	DMR453	-26.5487664423835
Chr1	3660400	3660700	DMR454	-31.2071490153682
Chr1	3660900	3661400	DMR455	-33.4803672167089
Chr1	3662400	3662900	DMR456	-31.3880908092629
Chr1	3685800	3686300	DMR457	-37.9376054507708
Chr1	3686700	3687000	DMR458	-28.7245904451497
Chr1	3687600	3688100	DMR459	-27.7574030161467
Chr1	3688700	3689100	DMR460	-34.4673617242591
Chr1	3707900	3708300	DMR461	-26.8066818493395
Chr1	3734700	3735000	DMR462	-25.6999705275567
Chr1	3737800	3738200	DMR463	-32.5836055597055
Chr1	3747400	3747700	DMR464	-28.0118762133151
Chr1	3754900	3755300	DMR465	-26.3578563590345
Chr1	3802200	3802700	DMR466	-36.4593616434987
Chr1	3818200	3818500	DMR467	-31.0002669157881
Chr1	3819500	3820100	DMR468	-28.9372296592305
Chr1	3820200	3820500	DMR469	-27.3924256820958
Chr1	3833600	3834100	DMR470	-31.2863165729903
Chr1	3838800	3839200	DMR471	-27.92031288864
Chr1	3843300	3843800	DMR472	-29.0428118348584
Chr1	3864400	3865300	DMR473	-34.6225384813536
Chr1	3917300	3917600	DMR474	-29.4193548387097
Chr1	3921200	3921600	DMR475	-40.496052106216
Chr1	3922500	3923000	DMR476	-40.9295887172959
Chr1	3923500	3923800	DMR477	-26.157925851533
Chr1	3939900	3940500	DMR478	-31.1002321261084
Chr1	3949600	3950000	DMR479	-36.0051539846784
Chr1	3952400	3952700	DMR480	-26.1420304541454
Chr1	3954900	3955400	DMR481	-35.4858347635532
Chr1	3955600	3956100	DMR482	-27.4063595055067
Chr1	3956400	3956900	DMR483	-27.4628347479657
Chr1	3968500	3968800	DMR484	-28.3146664305635
Chr1	3972100	3972400	DMR485	-28.3407666814875
Chr1	3977700	3978200	DMR486	-26.1719766852391
Chr1	3982600	3982900	DMR487	-32.9605263157895
Chr1	3988600	3988900	DMR488	-25.3695624313948
Chr1	3991500	3991800	DMR489	-33.3818855932203
Chr1	3992000	3992300	DMR490	-31.9108410127363
Chr1	3996900	3997200	DMR491	-30.4713804713805
Chr1	4005900	4006700	DMR492	-34.398841118296
Chr1	4008900	4009200	DMR493	-26.4410650958706
Chr1	4013700	4014100	DMR494	-26.9308991883886
Chr1	4017800	4018300	DMR495	-40.0544218475641
Chr1	4029700	4030000	DMR496	-26.8568314630466
Chr1	4036400	4036700	DMR497	-29.0990064647693
Chr1	4036900	4037400	DMR498	-29.4618064509498
Chr1	4050400	4050900	DMR499	-30.3939805330693
Chr1	4115700	4116200	DMR500	-37.2267350053685
Chr1	4122600	4123100	DMR501	-28.7116823480968
Chr1	4142400	4142700	DMR502	-29.4977190097955
Chr1	4147000	4147300	DMR503	-26.4370222201548
Chr1	4176500	4176900	DMR504	-29.5952127228211
Chr1	4179500	4179800	DMR505	-25.2335481682497
Chr1	4184300	4184600	DMR506	-26.8542199488491
Chr1	4204800	4205100	DMR507	-26.5070000560928
Chr1	4207400	4207900	DMR508	-28.1300771235367
Chr1	4249100	4249700	DMR509	-29.5622663501293
Chr1	4254100	4254600	DMR510	-37.2043000485377
Chr1	4254800	4255100	DMR511	-29.0414878397711
Chr1	4267600	4267900	DMR512	-28.5221709065213
Chr1	4284100	4284800	DMR513	-31.796710571721
Chr1	4321700	4322100	DMR514	-31.3151262298948
Chr1	4335700	4336200	DMR515	-40.545541972831
Chr1	4352100	4352400	DMR516	-28.9810547875064
Chr1	4352600	4353100	DMR517	-30.726898863899
Chr1	4363300	4363600	DMR518	-27.9301048386603
Chr1	4369100	4369500	DMR519	-31.8934196742468
Chr1	4369800	4370100	DMR520	-27.6079404466501
Chr1	4377200	4377500	DMR521	-27.0513770884416
Chr1	4400600	4401000	DMR522	-36.8978151026191
Chr1	4402100	4402600	DMR523	-46.1405313786199
Chr1	4435000	4435800	DMR524	-31.8020480344613
Chr1	4436700	4437200	DMR525	-30.3535692869364
Chr1	4441200	4441700	DMR526	-38.300130226911
Chr1	4444900	4445300	DMR527	-32.1140234720032
Chr1	4450700	4451100	DMR528	-29.3545932801396
